location_id,lat,lng,monthly_revenue,district_id,district_name,traces_500m,traces_2000m,devices_500m,devices_2000m,active_days_500m,active_days_2000m,traces_per_device_500m,traces_per_day_500m,traces_per_device_2000m,traces_per_day_2000m,buildings_count_1000m,total_building_area_1000m,residential_area_1000m,commercial_area_1000m,industrial_area_1000m,public_area_1000m,residential_count_1000m,commercial_count_1000m,residential_area_share_1000m,commercial_area_share_1000m,industrial_area_share_1000m,public_area_share_1000m,building_floor_ratio_1000m,buildings_density_per_km2_1000m,buildings_count_3000m,total_building_area_3000m,residential_area_3000m,commercial_area_3000m,industrial_area_3000m,public_area_3000m,residential_count_3000m,commercial_count_3000m,residential_area_share_3000m,commercial_area_share_3000m,industrial_area_share_3000m,public_area_share_3000m,building_floor_ratio_3000m,buildings_density_per_km2_3000m,population_total_1000m,households_count_1000m,avg_household_size_1000m,female_share_1000m,population_per_km2_1000m,households_per_km2_1000m,population_total_3000m,households_count_3000m,avg_household_size_3000m,female_share_3000m,population_per_km2_3000m,households_per_km2_3000m,poi_total_500m,restaurant_count_500m,bank_count_500m,school_count_500m,pharmacy_count_500m,hospital_count_500m,mall_count_500m,park_count_500m,poi_total_2000m,restaurant_count_2000m,bank_count_2000m,school_count_2000m,pharmacy_count_2000m,hospital_count_2000m,mall_count_2000m,park_count_2000m,poi_decay_total,restaurant_decay,bank_decay,school_decay,pharmacy_decay,hospital_decay,mall_decay,park_decay,dist_nearest_competitor,dist_nearest_discount,dist_nearest_zabka,dist_nearest_convenience,log_dist_nearest_competitor,log_dist_nearest_discount,log_dist_nearest_zabka,log_dist_nearest_convenience,convenience_count_1000m,convenience_count_2000m,zabka_count_1000m,zabka_count_2000m,discount_count_3000m,competitors_total_2000m,competitors_total_3000m,brand_diversity_2000m,comp_decay_total,comp_decay_zabka,comp_decay_discount
LOC_001,50.226272,19.072973,245633.74,2401.0,Katowice,17537,60503,275,912,17,37,63.77090909090909,1031.5882352941176,66.34100877192982,1635.2162162162163,1024,173265.54,101027.75,21982.69,4612.96,21336.13,632,85,0.5830804555828007,0.12687283345551573,0.02662364368587083,0.12314122011797614,0.05515213431697304,325.94932345220167,3581,726580.73,333984.1,73692.27,146591.24,55520.33,2043,200,0.4596655075066469,0.10142337521117578,0.20175492405365608,0.07641316058574799,0.025697536607737284,126.65196693601716,12398.0,5110.0,2.4223679060665364,0.527746410711405,3946.405968906637,1626.5635183991703,24182.0,9896.0,2.4427142279708973,0.526879497146638,855.263296410714,349.9994037416436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05276014878450647,0.0,0.0,0.0,0.0,0.0,0.0,0.015451016959149832,262.8876708474775,13197.514942437021,262.8876708474775,262.8876708474775,5.575523523385995,9.48785959788454,5.575523523385995,5.575523523385995,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8223273433805655,0.8223273433805655,0.0
LOC_002,50.299999,18.674625,333393.33,2403.0,Gliwice,27611,326556,654,3216,40,88,42.218654434250766,690.275,101.5410447761194,3710.8636363636365,2089,664850.58,251452.97,172211.82,95035.01,82702.38,1090,298,0.37820974751951036,0.2590233432600751,0.14294190733803677,0.12439243115347814,0.21162851244902722,664.9493522379387,13692,3135738.27,1432368.64,569046.93,490274.81,295860.58,8368,1061,0.45678832755388094,0.18147143702781038,0.15635067973960723,0.09435117172582137,0.11090405464731742,484.25544018094024,15762.0,7250.0,2.1736275862068966,0.5271539144778581,5017.200426028909,2307.7466748324823,96544.0,42609.0,2.265737285550001,0.5324100928074246,3414.545516858654,1506.9851044894597,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,6.0,2.0,1.0,0.0,1.0,1.75666505791932,0.5191361768506995,0.0,0.7195563310358128,0.3629643846624395,0.052901590622442166,0.0,0.0882615388105113,2568.288537620284,4617.019710976475,2568.288537620284,2568.288537620284,7.851384305952983,8.437721258198202,7.851384305952983,7.851384305952983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08650488928654002,0.0767302747637616,0.009774614522778422
LOC_003,50.042894,19.968676,296109.69,2404.0,Kraków,6312,161913,341,2954,17,66,18.51026392961877,371.29411764705884,54.81144211238998,2453.2272727272725,1548,508893.55,183018.88,159084.93,113064.77,24179.07,648,282,0.35964079324644616,0.31260944454886486,0.22217764402791115,0.04751302114165133,0.1619858479801652,492.743703812508,13039,4064735.32,1905066.78,975342.66,587465.63,321454.62,7242,1703,0.4686816311572287,0.23995231748570534,0.1445274006180555,0.07908377660368794,0.14376060411960379,461.16028955004964,7194.0,2866.0,2.5087927424982555,0.5157075340561579,2289.92132120619,912.2761338027441,93568.0,36416.0,2.569793497363796,0.5310255642954856,3309.2910478272142,1287.9525350298802,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.319462121125786,0.15500610566183362,0.04374985666982917,0.02472947016402098,0.009459659837884092,0.005268871757635348,0.7021439108516794,0.0286435887340468,619.3761269879723,6111.190073690898,619.3761269879723,619.3761269879723,6.430325950529727,8.718040428807,6.430325950529727,6.430325950529727,1.0,2.0,1.0,2.0,0.0,3.0,6.0,2.0,1.6098251856804229,1.0707564331968553,0.0
LOC_004,50.130954,19.607709,197099.19,2408.0,Olkusz,923,11721,29,307,10,26,31.82758620689655,92.3,38.17915309446254,450.8076923076923,828,112333.53,65234.76,8062.070000000001,21211.219999999998,849.37,548,22,0.5807238497713016,0.07176904349039864,0.18882358633259363,0.00756114403241846,0.03575687314892344,263.5605857601787,5869,828990.1,456961.75,68626.48,72771.2,29606.77,3767,225,0.5512270291285747,0.08278323227261701,0.08778295422345815,0.03571426245017884,0.029319527153165475,207.57341355696306,1554.0,414.0,3.753864734299517,0.5096525096525096,494.65356312961075,131.78029288008935,13911.0,4158.0,3.3458152958152962,0.5272086837754295,492.0009807447458,147.0591674169113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016845289374664167,0.0,0.0,0.0,0.0,0.0,0.0,0.016845289374664167,9136.571171347827,15587.35250520379,9136.571171347827,9136.571171347827,9.120149892957695,9.654279280085627,9.120149892957695,9.120149892957695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC_005,50.351594,18.894944,292786.56,2412.0,Bytom,29446,253366,408,2665,22,55,72.17156862745098,1338.4545454545455,95.07166979362101,4606.654545454546,1050,283515.86,114286.53,35388.69,43024.33,27147.41,527,95,0.4031045388430827,0.12482084776491871,0.15175281552150205,0.0957527032173791,0.09024590112789953,334.2253804929802,8453,2070406.47,983286.89,268663.45,333429.52,167603.46,4378,727,0.4749245639673837,0.1297636255937705,0.16104543954598444,0.0809519591580488,0.07322564975776487,298.9637186568425,11571.0,5473.0,2.1167367074730494,0.535908737360643,3683.163693032642,1742.1100070838863,75693.0,34933.0,2.166856553974752,0.5292695493638778,2677.092246101074,1235.5021393398179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24293954986951946,0.0,0.01662147265570889,0.020022754074840568,0.0,0.11494644674272589,0.0,0.01736482754038233,1211.760759472077,9105.770413495879,1951.859134806137,1951.859134806137,7.100654659048104,9.116773417356102,7.5770498006799345,7.5770498006799345,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.4398081355081596,0.1420439089721517,0.0
LOC_006,50.016769,20.01029,174307.46,2415.0,powiat wielicki,23081,133062,306,1879,24,58,75.4281045751634,961.7083333333334,70.81532730175626,2294.1724137931033,1108,348537.69,198756.31,55748.21,5051.66,56153.73,698,103,0.5702577244945877,0.15994887095280858,0.01449387008905694,0.16111236061729794,0.11094299243466132,352.6873538916401,10976,2487369.12,1137281.42,300499.56,673452.87,140616.97,6848,686,0.45722261760650945,0.12081019965384147,0.27074906759315237,0.05653240963287347,0.08797268683158618,388.1965900836985,17622.0,5431.0,3.2449640950101273,0.5305300192940643,5609.25681433076,1728.7409918641672,69279.0,23669.0,2.927677552917318,0.5340723740238745,2450.243400547426,837.1196328982379,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.1862968573002424,0.12195786209719285,0.0,0.42809010344697035,0.0,0.28880202157953994,0.0,0.0,2382.6049021588447,7634.324574472945,2382.6049021588447,2382.6049021588447,7.776369285490462,8.940540728140498,7.776369285490462,7.776369285490462,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.17521977413170142,0.15366017322735118,0.0
LOC_007,50.283699,19.017317,526630.01,2401.0,Katowice,17668,188886,232,2477,17,96,76.15517241379311,1039.2941176470588,76.25595478401291,1967.5625,1481,389695.24,144514.31,81171.17,92077.15,16027.93,721,154,0.37083929996168286,0.20829397351633036,0.23627989400127133,0.041129396397040933,0.124043847490765,471.416941438194,11108,3302204.65,1251828.83,789561.22,612890.1799999999,228105.48,5541,1276,0.37908880965327213,0.23910123801685035,0.18560030190739388,0.06907672424239364,0.11679159847745382,392.86513508106077,11920.0,5283.0,2.253019117925421,0.5337248322147651,3794.2538433107848,1681.6311287089661,100698.0,47339.0,2.1267115908658822,0.5381040338437705,3561.4632132150396,1674.2746335616075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3164851634167396,0.04927941908984377,0.010619014934875319,0.028298079321073963,0.0066747961948624805,0.2216138538760841,0.0,0.0,2389.1790088727785,12223.8810341404,2389.1790088727785,2389.1790088727785,7.779123541230708,9.411228582937065,7.779123541230708,7.779123541230708,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2894175172020328,0.2894175172020328,0.0
LOC_008,50.147486,18.840116,156433.13,2405.0,Tychy,11608,31411,215,528,21,34,53.990697674418605,552.7619047619048,59.490530303030305,923.8529411764706,1263,204739.23,117831.43,22312.41,19924.77,14001.66,788,88,0.5755195523593597,0.1089796518234439,0.09731779297987982,0.0683877730711403,0.06517052099865694,402.0253862501276,5363,869911.51,424069.83,69267.54,209119.61000000002,32879.56,3281,256,0.48748616971397474,0.07962596103596789,0.2403918187034909,0.03779644207719472,0.03076682597089661,189.6773244004077,6811.0,2491.0,2.7307105580088322,0.5294376743503156,2168.0086347977985,792.9099264838226,16926.0,5517.0,3.0658872575675185,0.52162353775257,598.6347926163157,195.1239602306637,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8430898509378806,0.0,0.8430898509378806,0.0,0.0,0.0,0.0,0.0,3599.225115091717,9551.503820898259,3599.225115091717,3599.225115091717,8.18875165445908,9.164558579310324,8.18875165445908,8.18875165445908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03565162298735608,0.03565162298735608,0.0
LOC_009,50.303099,18.678924,335019.41,2403.0,Gliwice,35064,283394,604,2981,26,70,58.05298013245033,1348.6153846153845,95.06675612210668,4048.4857142857145,2330,574369.91,258770.38,146015.53,70533.02,42939.15,1367,244,0.45052913722447613,0.2542186271561475,0.12280068780065446,0.07475870384644627,0.18282762067949412,741.6620348082323,13086,2956221.32,1378664.85,519582.95,466062.07,265612.31,8104,984,0.46636049901703575,0.17575915121267038,0.15765466098458422,0.08984858752050405,0.10455494132258839,462.82257451123166,18580.0,8301.0,2.2376822069630165,0.5286329386437029,5914.197685294831,2642.2903652116465,92302.0,40395.0,2.285032801089244,0.5313752681415354,3264.5154571706944,1428.6808724882471,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,4.0,0.0,4.0,2.0,1.0,0.0,2.0,1.7793023253338318,0.20852024374277206,0.0,0.6857960196632545,0.6860860349836874,0.021195852180481225,0.0,0.16838238902981043,2946.9862181906656,4281.985222840212,2946.9862181906656,2946.9862181906656,7.988877578329054,8.362405527420348,7.988877578329054,7.988877578329054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06621180825090577,0.05253816606683684,0.013673642184068927
LOC_010,50.347639,18.921651,355288.71,2412.0,Bytom,57905,292864,962,2969,41,64,60.19230769230769,1412.3170731707316,98.64061973728528,4576.0,3239,793770.53,452364.65,98349.37,76868.19,82552.61,1852,257,0.569893480424374,0.12390151345124893,0.09683930946642728,0.10400059825854205,0.2526650070603472,1031.005721349298,8798,2290007.96,974225.67,279138.64,519267.16,173178.65,4309,753,0.42542457800015687,0.12189417891805059,0.2267534301496489,0.07562360176250217,0.08099246367861941,311.16559762722113,27679.0,12822.0,2.1591951333645296,0.5267170056721703,8810.499339681142,4081.369360648564,75756.0,35154.0,2.154793195653411,0.5318390622524949,2679.3204153043607,1243.3184154338865,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0227695208383456,0.0,0.8015873165747037,0.7731400787843061,0.015265583067081862,0.15796187745503013,0.0,0.8572971799486704,1850.584596347251,10593.121761688602,2826.933171938518,2826.933171938518,7.523797090018629,9.268054575495908,7.947301395880998,7.947301395880998,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.21548749282082086,0.05890978084563954,0.0
